State.Code,County.Code,Site.Num,State,County,City,Date.Local,NO2.Units,NO2.Mean,O3.Units,O3.Mean,SO2.Units,SO2.Mean,CO.Units,CO.Mean
1,73,23,Alabama,Jefferson,Birmingham,23-01-16,Parts per billion,3.0875,Parts per million,0.026958,Parts per billion,1.209091,Parts per million,0.156818
1,73,23,Alabama,Jefferson,Birmingham,23-01-16,Parts per billion,3.0875,Parts per million,0.026958,Parts per billion,1.209091,Parts per million,0.116667
1,73,23,Alabama,Jefferson,Birmingham,23-01-16,Parts per billion,3.0875,Parts per million,0.026958,Parts per billion,1.2,Parts per million,0.156818
1,73,23,Alabama,Jefferson,Birmingham,23-01-16,Parts per billion,3.0875,Parts per million,0.026958,Parts per billion,1.2,Parts per million,0.116667
1,73,23,Alabama,Jefferson,Birmingham,24-01-16,Parts per billion,14.695833,Parts per million,0.01575,Parts per billion,4.777273,Parts per million,0.412273
1,73,23,Alabama,Jefferson,Birmingham,24-01-16,Parts per billion,14.695833,Parts per million,0.01575,Parts per billion,4.777273,Parts per million,0.275
1,73,23,Alabama,Jefferson,Birmingham,24-01-16,Parts per billion,14.695833,Parts per million,0.01575,Parts per billion,4.957143,Parts per million,0.412273
1,73,23,Alabama,Jefferson,Birmingham,24-01-16,Parts per billion,14.695833,Parts per million,0.01575,Parts per billion,4.957143,Parts per million,0.275
1,73,23,Alabama,Jefferson,Birmingham,25-01-16,Parts per billion,14.15,Parts per million,0.026375,Parts per billion,1.675,Parts per million,0.303
1,73,23,Alabama,Jefferson,Birmingham,25-01-16,Parts per billion,14.15,Parts per million,0.026375,Parts per billion,1.675,Parts per million,0.4
1,73,23,Alabama,Jefferson,Birmingham,25-01-16,Parts per billion,14.15,Parts per million,0.026375,Parts per billion,1.566667,Parts per million,0.303
1,73,23,Alabama,Jefferson,Birmingham,25-01-16,Parts per billion,14.15,Parts per million,0.026375,Parts per billion,1.566667,Parts per million,0.4
1,73,23,Alabama,Jefferson,Birmingham,26-01-16,Parts per billion,12.983333,Parts per million,0.016042,Parts per billion,0.418182,Parts per million,0.235263
1,73,23,Alabama,Jefferson,Birmingham,26-01-16,Parts per billion,12.983333,Parts per million,0.016042,Parts per billion,0.418182,Parts per million,0.2
1,73,23,Alabama,Jefferson,Birmingham,26-01-16,Parts per billion,12.983333,Parts per million,0.016042,Parts per billion,0.357143,Parts per million,0.235263
1,73,23,Alabama,Jefferson,Birmingham,26-01-16,Parts per billion,12.983333,Parts per million,0.016042,Parts per billion,0.357143,Parts per million,0.2
1,73,23,Alabama,Jefferson,Birmingham,27-01-16,Parts per billion,5.52381,Parts per million,0.017042,Parts per billion,0.186364,Parts per million,0.134091
1,73,23,Alabama,Jefferson,Birmingham,27-01-16,Parts per billion,5.52381,Parts per million,0.017042,Parts per billion,0.186364,Parts per million,0.129167
1,73,23,Alabama,Jefferson,Birmingham,27-01-16,Parts per billion,5.52381,Parts per million,0.017042,Parts per billion,0.171429,Parts per million,0.134091
1,73,23,Alabama,Jefferson,Birmingham,27-01-16,Parts per billion,5.52381,Parts per million,0.017042,Parts per billion,0.171429,Parts per million,0.129167
1,73,23,Alabama,Jefferson,Birmingham,28-01-16,Parts per billion,9.495833,Parts per million,0.019667,Parts per billion,0.486364,Parts per million,0.176364
1,73,23,Alabama,Jefferson,Birmingham,28-01-16,Parts per billion,9.495833,Parts per million,0.019667,Parts per billion,0.486364,Parts per million,0.191667
1,73,23,Alabama,Jefferson,Birmingham,28-01-16,Parts per billion,9.495833,Parts per million,0.019667,Parts per billion,0.471429,Parts per million,0.176364
1,73,23,Alabama,Jefferson,Birmingham,28-01-16,Parts per billion,9.495833,Parts per million,0.019667,Parts per billion,0.471429,Parts per million,0.191667
1,73,23,Alabama,Jefferson,Birmingham,29-01-16,Parts per billion,16.883333,Parts per million,0.015375,Parts per billion,0.577273,Parts per million,0.355455
1,73,23,Alabama,Jefferson,Birmingham,29-01-16,Parts per billion,16.883333,Parts per million,0.015375,Parts per billion,0.577273,Parts per million,0.2625
1,73,23,Alabama,Jefferson,Birmingham,29-01-16,Parts per billion,16.883333,Parts per million,0.015375,Parts per billion,0.557143,Parts per million,0.355455
1,73,23,Alabama,Jefferson,Birmingham,29-01-16,Parts per billion,16.883333,Parts per million,0.015375,Parts per billion,0.557143,Parts per million,0.2625
1,73,23,Alabama,Jefferson,Birmingham,30-01-16,Parts per billion,11.158333,Parts per million,0.034625,Parts per billion,1.672727,Parts per million,0.358182
1,73,23,Alabama,Jefferson,Birmingham,30-01-16,Parts per billion,11.158333,Parts per million,0.034625,Parts per billion,1.672727,Parts per million,0.495833
1,73,23,Alabama,Jefferson,Birmingham,30-01-16,Parts per billion,11.158333,Parts per million,0.034625,Parts per billion,1.7,Parts per million,0.358182
1,73,23,Alabama,Jefferson,Birmingham,30-01-16,Parts per billion,11.158333,Parts per million,0.034625,Parts per billion,1.7,Parts per million,0.495833
1,73,23,Alabama,Jefferson,Birmingham,31-01-16,Parts per billion,2.954167,Parts per million,0.037875,Parts per billion,0.609091,Parts per million,0.144091
1,73,23,Alabama,Jefferson,Birmingham,31-01-16,Parts per billion,2.954167,Parts per million,0.037875,Parts per billion,0.609091,Parts per million,0.1375
1,73,23,Alabama,Jefferson,Birmingham,31-01-16,Parts per billion,2.954167,Parts per million,0.037875,Parts per billion,0.6,Parts per million,0.144091
1,73,23,Alabama,Jefferson,Birmingham,31-01-16,Parts per billion,2.954167,Parts per million,0.037875,Parts per billion,0.6,Parts per million,0.1375
1,73,23,Alabama,Jefferson,Birmingham,01-02-16,Parts per billion,10.420833,Parts per million,0.022458,Parts per billion,0.261111,Parts per million,0.2895
1,73,23,Alabama,Jefferson,Birmingham,01-02-16,Parts per billion,10.420833,Parts per million,0.022458,Parts per billion,0.261111,Parts per million,0.272222
1,73,23,Alabama,Jefferson,Birmingham,01-02-16,Parts per billion,10.420833,Parts per million,0.022458,Parts per billion,0.225,Parts per million,0.2895
1,73,23,Alabama,Jefferson,Birmingham,01-02-16,Parts per billion,10.420833,Parts per million,0.022458,Parts per billion,0.225,Parts per million,0.272222
1,73,23,Alabama,Jefferson,Birmingham,02-02-16,Parts per billion,5.083333,Parts per million,0.024583,Parts per billion,0.3,Parts per million,0.144091
1,73,23,Alabama,Jefferson,Birmingham,02-02-16,Parts per billion,5.083333,Parts per million,0.024583,Parts per billion,0.3,Parts per million,0.204167
1,73,23,Alabama,Jefferson,Birmingham,02-02-16,Parts per billion,5.083333,Parts per million,0.024583,Parts per billion,0.271429,Parts per million,0.144091
1,73,23,Alabama,Jefferson,Birmingham,02-02-16,Parts per billion,5.083333,Parts per million,0.024583,Parts per billion,0.271429,Parts per million,0.204167
1,73,23,Alabama,Jefferson,Birmingham,03-02-16,Parts per billion,6.754167,Parts per million,0.031083,Parts per billion,0.113636,Parts per million,0.145909
1,73,23,Alabama,Jefferson,Birmingham,03-02-16,Parts per billion,6.754167,Parts per million,0.031083,Parts per billion,0.113636,Parts per million,0.141667
1,73,23,Alabama,Jefferson,Birmingham,03-02-16,Parts per billion,6.754167,Parts per million,0.031083,Parts per billion,0.085714,Parts per million,0.145909
1,73,23,Alabama,Jefferson,Birmingham,03-02-16,Parts per billion,6.754167,Parts per million,0.031083,Parts per billion,0.085714,Parts per million,0.141667
1,73,23,Alabama,Jefferson,Birmingham,04-02-16,Parts per billion,3.316667,Parts per million,0.029667,Parts per billion,0.542857,Parts per million,0.125455
1,73,23,Alabama,Jefferson,Birmingham,04-02-16,Parts per billion,3.316667,Parts per million,0.029667,Parts per billion,0.542857,Parts per million,0.1
1,73,23,Alabama,Jefferson,Birmingham,04-02-16,Parts per billion,3.316667,Parts per million,0.029667,Parts per billion,0.583333,Parts per million,0.125455
1,73,23,Alabama,Jefferson,Birmingham,04-02-16,Parts per billion,3.316667,Parts per million,0.029667,Parts per billion,0.583333,Parts per million,0.1
1,73,23,Alabama,Jefferson,Birmingham,05-02-16,Parts per billion,10.95,Parts per million,0.021333,Parts per billion,0.49,Parts per million,0.273182
1,73,23,Alabama,Jefferson,Birmingham,05-02-16,Parts per billion,10.95,Parts per million,0.021333,Parts per billion,0.49,Parts per million,0.208333
1,73,23,Alabama,Jefferson,Birmingham,05-02-16,Parts per billion,10.95,Parts per million,0.021333,Parts per billion,0.48,Parts per million,0.273182
1,73,23,Alabama,Jefferson,Birmingham,05-02-16,Parts per billion,10.95,Parts per million,0.021333,Parts per billion,0.48,Parts per million,0.208333
1,73,23,Alabama,Jefferson,Birmingham,06-02-16,Parts per billion,16.9,Parts per million,0.016833,Parts per billion,3.295455,Parts per million,0.290455
1,73,23,Alabama,Jefferson,Birmingham,06-02-16,Parts per billion,16.9,Parts per million,0.016833,Parts per billion,3.295455,Parts per million,0.3125
1,73,23,Alabama,Jefferson,Birmingham,06-02-16,Parts per billion,16.9,Parts per million,0.016833,Parts per billion,3.328571,Parts per million,0.290455
1,73,23,Alabama,Jefferson,Birmingham,06-02-16,Parts per billion,16.9,Parts per million,0.016833,Parts per billion,3.328571,Parts per million,0.3125
1,73,23,Alabama,Jefferson,Birmingham,07-02-16,Parts per billion,16.616667,Parts per million,0.022042,Parts per billion,1.136364,Parts per million,0.304091
